Player Name,Year,School Name,Conference,Classification,Games Played,Attempts,Yards,Average,Touchdowns,Reception,Receiving Yards,Avg/Rec,Receiving Touchdowns,Total Plays,Total Yards,Total Average,Total TDs,Kick Returns,Kick Return Yards,Kick Return Average,Kick Return Touchdowns,Punt Returns,Punt Return Yards,Punt Return Average,Punt Return TDs,Total Touches,Total Touchdowns,Rush Attempts/G,Rush Yards/Game,Rush TDs/Game,Receptions/G,Receiving Yards/G,Receiving TDs/G,Touches/Game,Total Touchdowns/Game,Total Touches/TD,RBR,All Conference,All American,Conference Player of The Year,Conference Freshman of Year,Doak Walker,Heisman,Drafted,All Conference Y2D,Heisman Y2D,All American Y2D,Conference POY2D,Doak Walker Y2D,Conf Fresh Y2D,Binary All American
John Roberts,2020,Air Force,MWC,SO,4,64,461,7.203125,5,0,0,#DIV/0!,0,64,461,7.203125,5,,,#DIV/0!,,,,#DIV/0!,,64,5,16,115.25,1.25,0,0,0,16,1.25,12.8,#DIV/0!,0,0,0,0,0,0,N,0,0,0,0,0,0,no
John Roberts,2021,Air Force,MWC,JR,13,299,1356,4.535117057,13,0,0,#DIV/0!,0,299,1356,4.535117057,13,,,#DIV/0!,,,,#DIV/0!,,299,13,23,104.3076923,1,0,0,0,23,1,23,#DIV/0!,1,0,0,0,0,0,N,0,0,0,0,0,0,no
John Roberts,2022,Air Force,MWC,SR,13,345,1728,5.008695652,17,1,9,9,0,346,1737,5.020231214,17,1,0,0,0,,,#DIV/0!,,347,17,26.53846154,132.9230769,1.307692308,0.076923077,0.692307692,0,26.69230769,1.307692308,20.35294118,6.568762925,1,0,1,0,0,0,N,1,0,0,0,0,0,no
Dewayne McBride,2020,UAB,CUSA,FR,6,47,439,9.340425532,4,0,0,#DIV/0!,0,47,439,9.340425532,4,,,#DIV/0!,,,,#DIV/0!,,47,4,7.833333333,73.16666667,0.666666667,0,0,0,7.833333333,0.666666667,11.75,#DIV/0!,0,0,0,0,0,0,7,0,0,0,0,0,0,no
Dewayne McBride,2021,UAB,CUSA,SO,13,204,1371,6.720588235,13,3,19,6.333333333,0,207,1390,6.714975845,13,,,#DIV/0!,,,,#DIV/0!,,207,13,15.69230769,105.4615385,1,0.230769231,1.461538462,0,15.92307692,1,15.92307692,6.720588239,2,0,0,0,0,0,7,0,0,0,0,0,0,no
Dewayne McBride,2022,UAB,CUSA,JR,11,233,1713,7.35193133,19,2,10,5,0,235,1723,7.331914894,19,,,#DIV/0!,,,,#DIV/0!,,235,19,21.18181818,155.7272727,1.727272727,0.181818182,0.909090909,0,21.36363636,1.727272727,12.36842105,12.69879048,1,0,1,0,0,0,7,1,0,0,0,0,0,no
Mohamed Ibrahim,2018,Minnesota,Big Ten,FR,10,202,1160,5.742574257,9,4,26,6.5,0,206,1186,5.757281553,9,1,19,19,,,,#DIV/0!,,207,9,20.2,116,0.9,0.4,2.6,0,20.7,0.9,22.88888889,5.193405748,0,0,0,0,0,0,0,0,0,0,0,0,0,no
Mohamed Ibrahim,2019,Minnesota,Big Ten,SO,11,114,604,5.298245614,7,3,13,4.333333333,0,117,617,5.273504274,7,2,47,23.5,,,,#DIV/0!,,119,7,10.36363636,54.90909091,0.636363636,0.272727273,1.181818182,0,10.81818182,0.636363636,16.71428571,3.429245221,0,0,0,0,0,0,0,0,0,0,0,0,0,no
Mohamed Ibrahim,2020,Minnesota,Big Ten,JR,7,201,1076,5.353233831,15,8,56,7,0,209,1132,5.416267943,15,,,#DIV/0!,,,,#DIV/0!,,209,15,28.71428571,153.7142857,2.142857143,1.142857143,8,0,29.85714286,2.142857143,13.93333333,11.47121536,1,3,1,0,0,0,0,0,0,0,0,0,0,yes
Mohamed Ibrahim,2021,Minnesota,Big Ten,SR,1,30,163,5.433333333,2,0,0,#DIV/0!,0,30,163,5.433333333,2,,,#DIV/0!,,,,#DIV/0!,,30,2,30,163,2,0,0,0,30,2,15,#DIV/0!,0,0,0,0,0,0,0,1,0,1,1,0,0,no
Mohamed Ibrahim,2022,Minnesota,Big Ten,RSR,12,320,1665,5.203125,20,7,50,7.142857143,0,327,1715,5.244648318,20,,,#DIV/0!,,,,#DIV/0!,,327,20,26.66666667,138.75,1.666666667,0.583333333,4.166666667,0,27.25,1.666666667,16.35,8.671874999,1,0,0,0,0,0,0,1,0,1,1,0,0,no
Bijan Robinson,2020,Texas,Big 12,FR,9,86,703,8.174418605,4,15,196,13.06666667,2,101,899,8.900990099,6,1,16,16,,,,#DIV/0!,,102,6,9.555555556,78.11111111,0.444444444,1.666666667,21.77777778,0.222222222,11.33333333,0.666666667,16.83333333,4.402159278,0,0,0,0,0,0,1,0,0,0,0,0,0,no
Bijan Robinson,2021,Texas,Big 12,SO,10,195,1127,5.779487179,11,26,295,11.34615385,4,221,1422,6.43438914,15,,,#DIV/0!,,,,#DIV/0!,,221,15,19.5,112.7,1.1,2.6,29.5,0.4,22.1,1.5,14.73333333,7.492051284,1,0,0,0,0,0,1,0,0,0,0,0,0,no
Bijan Robinson,2022,Texas,Big 12,JR,12,258,1580,6.124031008,18,19,314,16.52631579,2,277,1894,6.837545126,20,,,#DIV/0!,,,,#DIV/0!,,277,20,21.5,131.6666667,1.5,1.583333333,26.16666667,0.166666667,23.08333333,1.666666667,13.85,9.874643003,1,U,0,0,1,0,1,1,0,0,0,0,0,yes
Duece Vaughn,2020,Kansas State,Big 12,FR,10,123,642,5.219512195,7,25,434,17.36,2,148,1076,7.27027027,9,7,145,20.71428571,,,,#DIV/0!,,155,9,12.3,64.2,0.7,2.5,43.4,0.2,15.5,0.9,16.44444444,4.735520766,2,0,0,1,0,0,6,0,0,0,0,0,1,no
Duece Vaughn,2021,Kansas State,Big 12,SO,13,235,1404,5.974468085,18,49,468,9.551020408,4,284,1872,6.591549296,22,,,#DIV/0!,,,,#DIV/0!,,284,22,18.07692308,108,1.384615385,3.769230769,36,0.307692308,21.84615385,1.692307692,12.90909091,9.007034307,2,1,0,0,0,0,6,1,0,0,0,0,1,yes
Duece Vaughn,2022,Kansas State,Big 12,JR,14,293,1558,5.317406143,9,42,378,9,3,335,1936,5.779104478,12,,,#DIV/0!,,,,#DIV/0!,,335,12,20.92857143,111.2857143,0.642857143,3,27,0.214285714,23.92857143,0.857142857,27.91666667,3.900475379,2,U,0,0,0,0,6,2,0,1,0,0,1,yes
Lew Nichols,2019,Central Michigan,MAC,FR,4,19,89,4.684210526,0,0,0,#DIV/0!,0,19,89,4.684210526,0,,,#DIV/0!,,,,#DIV/0!,,19,0,4.75,22.25,0,0,0,0,4.75,0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,7,0,0,0,0,0,0,no
Lew Nichols,2020,Central Michigan,MAC,SO,6,78,507,6.5,4,10,109,10.9,1,88,616,7,5,,,#DIV/0!,,,,#DIV/0!,,88,5,13,84.5,0.666666667,1.666666667,18.16666667,0.166666667,14.66666667,0.833333333,17.6,4.787500006,0,0,0,1,0,0,7,0,0,0,0,0,0,no
Lew Nichols,2021,Central Michigan,MAC,JR,13,341,1848,5.419354839,16,40,338,8.45,2,381,2186,5.737532808,18,,,#DIV/0!,,,,#DIV/0!,,381,18,26.23076923,142.1538462,1.230769231,3.076923077,26,0.153846154,29.30769231,1.384615385,21.16666667,6.994975188,1,0,1,0,0,0,7,0,0,0,0,0,0,no
Lew Nichols,2022,Central Michigan,MAC,SR,9,176,616,3.5,6,21,128,6.095238095,0,197,744,3.776649746,6,,,#DIV/0!,,,,#DIV/0!,,197,6,19.55555556,68.44444444,0.666666667,2.333333333,14.22222222,0,21.88888889,0.666666667,32.83333333,2.333333333,0,0,0,0,0,0,7,1,0,0,0,0,0,no
Reggie Bush,2003,USC,Pac-10,FR,13,90,521,5.8,3,15,314,20.93333333,4,105,835,7.952380952,7,18,492,27.33333333,1,2,4,2,0,125,8,6.923076923,40.07692308,0.230769231,1.153846154,24.15384615,0.307692308,9.615384615,0.538461538,15,3.507326013,0,0,0,1,0,0,1,0,0,0,0,0,0,no
Reggie Bush,2004,USC,Pac-10,SO,13,143,908,6.34965035,6,43,509,11.8372093,7,186,1417,7.61827957,13,21,537,25.57142857,0,24,376,15.66666667,2,231,15,11,69.84615385,0.461538462,3.307692308,39.15384615,0.538461538,17.76923077,1,14.30769231,5.618613419,1,1,1,0,0,0,1,0,0,0,0,0,0,yes
Reggie Bush,2005,USC,Pac-10,JR,13,200,1740,8.7,16,37,478,12.91891892,2,237,2218,9.358649789,18,28,493,17.60714286,18,179,9.9,0.055307263,1,444,37,15.38461538,133.8461538,1.230769231,2.846153846,36.76923077,0.153846154,34.15384615,1.384615385,13.16666667,20.99084712,1,1,1,0,1,1,1,1,0,1,1,0,0,yes
